X,Y,fid,megjegyzés,icon_url,20220119_MIP_eredmények_MIP_mappa
19.0712980726862,47.6476446979646,"2",K02,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0712116046612,47.6466903000296,"3",K04,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0714918988875,47.6471178501171,"4",K03,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.071839616988,47.647368642446,"5",E06,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0719986426341,47.6468355461821,"6",E07,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0737983900138,47.6473147984461,"7",E08,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0755956983548,47.6471260866138,"9",E14,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.07475387535,47.6468313624764,"10",E13,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0738473561465,47.6466053611376,"11",E12,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0731665055377,47.6464355543289,"12",E11,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0723019191726,47.6462163622138,"13",E10,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0715033432165,47.6460151302789,"14",E09,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0708703158652,47.6456629731282,"16",E15,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0723415930233,47.645420940593,"17",E20,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0735766865414,47.6453043715559,"18",E22,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0744137286182,47.6455345244402,"19",E23,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0750280105743,47.645696305534,"20",E24,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0757391538054,47.6459075419697,"21",E25,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0760062980524,47.6449503336891,"22",E30,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0754021759339,47.6448478500368,"23",E29,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0737619783951,47.6446384069874,"25",E27,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0729688681438,47.644504023725,"26",E26,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0745821833185,47.6449620654472,"27",E28,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0744738241742,47.6442095038967,"28",K31,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0754289972135,47.6445011982132,"29",K32,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0750676508338,47.6439881547523,"30",K33,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0746388273797,47.64349108925,"31",K36,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0729687175594,47.6441779031928,"35",K35,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0723749991488,47.6446637868569,"37",K34,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0751109585872,47.6428683878595,"38",K38,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0736802969718,47.6431879862238,"40",K37,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.074113784462,47.6463761184966,"42",E17,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.073371232455,47.6461641877832,"43",E16,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0747075817115,47.646043023828,"44",E21,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0758012751199,47.6465673008353,"45",E19,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0751161204763,47.6464260652308,"46",E18,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0728210972066,47.6478986713203,"48",E05,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0722416463385,47.6431624221252,"50",L42,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0727082665654,47.6431731430593,"51",L44,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0725995276037,47.642978781313,"52",L45,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0728620237631,47.6429811936196,"53",L46,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0721965634066,47.6429666566508,"54",L43,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0720641803202,47.6433001335686,"55",L40,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0723387253477,47.6433171230033,"56",L41,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0720448762447,47.6435204179078,"57",L39,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.073324264329,47.6425570225253,"58",L50,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0721763952283,47.64259206641,"59",L48,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.072788843605,47.6425812645817,"60",L49,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0731124766086,47.6427610843983,"61",L47,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0735094894878,47.6423482327446,"62",L51,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0732437610914,47.6413796710508,"65",L54,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.075835479286,47.6405726791213,"70",L55,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0746030381012,47.6416364583343,"72",L53,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0721953356928,47.6420494408325,"73",L52,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0698447581357,47.6473706080632,"78",K01,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0716625595318,47.6432257232361,"80",L56,,D:\Projektek\721-12_SZENTENDRE REGIONÁLIS DÉLI VÍZBÁZIS MEGÓVÁSA\04_Vizsgálatok\MIP\MIP_összes\egyoldalas\
19.0788614070248,47.641430294896,"81",L201,,
19.0775441751961,47.6415278362572,"82",L202,,
19.0722377113899,47.6410439113478,"83",L203,,
19.0715701505965,47.6416217074427,"84",L204,,
19.0704008243348,47.6419696426314,"85",L205,,
19.0743618454706,47.6410388268889,"86",L206,,
19.0724561113413,47.6439063081156,"87",D207,,
19.0734221280657,47.6437067549152,"88",K208,,
19.073787336535,47.6430616063243,"89",K209,,
19.0733085007432,47.6444528849477,"90",K210,,
19.0749426664483,47.6443216905311,"91",K211,,
19.0749380086384,47.6452662585907,"92",E212,,
19.0758989338172,47.6454514477208,"93",E213,,
19.0733772047591,47.6468000585268,"94",E214,,
19.0731951574285,47.6469542809669,"95",E215,,
19.0734019032996,47.6470559982878,"96",E216,,
19.0722586700086,47.6483879543028,"97",K217,,
19.0760961254622,47.6412933428509,"98",L218,,
19.0754994801254,47.6423118021234,"99",K219,,
19.0710470678921,47.6411546054581,"100",L220,,
19.0729703373592,47.6458759173904,"101",E221,,
19.0802382092541,47.6386552495178,"102",VB222,,
19.0793375347452,47.6383137013827,"103",VB223,,
19.0780858606001,47.6383015542389,"104",VB224,,
19.0781675863604,47.6369723382095,"105",VB225,,
